8/3/2016 7:18:18 AM
4 1 1993 volts
Name	Area	Similarity	Match	R.T. (s)	Height	FWHH (s)	Tailing Factor	Peak S/N	Quant S/N	Base Mass	Quant Masses	CAS	Group	Type	Sample	Spectrum
Peak 26	33148			433.459	2130	0.855	0.41	16	23	319.73	XIC(319.73±500ppm)			Unknown	Day 4 L-4 v-2:3	181.65252:140.04 240.86537:255.50 242.78262:496.67 295.99265:190.58 319.72546:2487.40 320.60571:75.53 321.75934:1036.71 324.02545:146.24 353.23187:788.92 354.53538:178.46 376.19598:405.78 382.21362:205.17 402.54290:656.12 412.84968:422.44 414.52681:93.42 447.38875:153.61 450.00825:175.87 452.59002:249.84 454.68407:123.12 464.42718:172.86 469.99323:153.10 484.42333:301.36 494.92447:118.11 494.99838:144.15 497.39438:104.20 513.79667:208.96 521.57043:87.45 522.21252:90.40 522.71219:135.16 533.04416:109.58 535.64296:98.27 539.43636:306.72 542.53125:80.83 544.96303:146.45 545.37182:102.14 563.71234:236.65 567.20501:197.04 570.63447:270.20 573.36266:150.80 589.17376:121.46 591.98181:94.48 597.23628:102.12 634.62360:233.90 641.45198:82.51 645.73024:106.94 648.38944:397.84 649.94310:79.80
Peak 27	340261	143		434.115	22872	0.817	2.72	16	7	56.07	XIC(56.07±500ppm)			Unknown	Day 4 L-4 v-2:3	56.07404:31409.16 71.09235:14588.98 85.10823:6419.71 170.55028:134.86 236.88146:431.63 288.92224:322.76 337.36949:134.72 373.47295:265.77 413.38316:143.65 417.90340:110.25 419.60172:315.63 424.56773:333.58 439.69394:122.99 445.04549:152.13 452.39187:337.88 453.72256:196.43 496.14151:81.94 496.44775:248.52 498.05749:349.46 500.95275:76.84 501.74844:179.79 507.93040:178.13 523.99815:114.68 550.45544:218.45 553.90511:275.83 576.69848:191.97 578.30869:91.21 582.99346:392.30 587.35589:77.57 598.91650:119.65 601.93316:213.92 602.36067:105.64 605.00505:366.55 616.50009:319.24
Peak 28	283150	26		439.367	17998	0.760	1.23	76	77	98.99	XIC(98.99±500ppm)			Unknown	Day 4 L-4 v-2:3	98.99292:24846.20 142.08583:491.86 155.05394:2411.86 233.55584:144.00 321.10912:123.91 364.68673:188.19 371.75751:113.83 383.89698:92.64 399.12916:295.18 401.59541:127.98 409.23191:290.56 411.25656:169.04 467.24954:283.89 469.34946:354.12 472.36577:80.27 475.53007:236.25 479.58763:120.95 481.60126:273.21 485.62477:143.98 489.20992:135.97 492.77213:212.34 499.38163:193.93 509.58690:111.77 528.26727:182.21 536.36597:93.69 543.87507:224.80 556.18009:236.83 569.48076:113.42 578.68425:95.26 579.01916:274.43 582.44660:108.34 585.54083:91.74 608.58507:123.00 623.03860:198.15 630.93124:235.50
Peak 29	739809	148		445.381	44615	0.794	1.11	64	48	73.06	XIC(73.06±500ppm)			Unknown	Day 4 L-4 v-2:3	59.03165:738.11 73.05912:68978.30 73.21944:531.88 74.06320:3844.21 75.04524:7000.28 76.07715:715.58 121.04160:7105.28 133.07924:953.62 133.58389:233.84 147.05940:7852.19 148.08171:913.44 148.97732:593.75 149.10800:2858.60 150.08756:1937.46 158.30219:372.91 192.95320:888.06 207.04351:12891.61 208.06769:1521.47 223.06819:12516.53 224.06945:3028.12 225.09242:2342.71 281.08919:808.43 295.56302:150.17 324.81287:241.81 325.01901:2471.98 325.18292:1129.10 325.63106:410.66 326.92820:2164.88 327.09248:1767.92 341.02447:10701.88 342.09404:4378.34 343.07166:496.98 346.95783:214.85 348.53009:123.79 358.60414:248.32 365.94012:105.65 368.93304:144.84 397.32121:248.06 409.55443:344.56 419.37298:126.66 427.50317:315.70 429.05770:5107.13 430.02511:1541.01 431.12251:1366.88 436.49117:103.70 439.10480:179.05 442.05446:142.56 453.25221:229.98 463.68726:233.99 464.39081:87.49 468.64018:113.10 473.62845:247.59 485.55595:160.43 489.83177:98.89 500.39374:125.88 502.07172:135.20 520.81914:304.98 527.15666:490.72 547.41577:81.48 556.80827:124.78 566.76457:273.51 570.07333:571.76 584.70987:108.25 590.00788:111.57 611.24532:191.48 613.40916:288.55 617.82680:187.75 618.09813:133.07 623.23311:119.73 633.01669:95.09 638.64562:243.51 639.95005:124.25
Decane	34271714	793		463.387	2401868	0.731	1.04	2236	664	57.08	XIC(57.08±500ppm)			Unknown	Day 4 L-4 v-2:3	44.49741:19106.15 44.95178:6372.33 45.11791:9912.76 45.93942:1720.92 46.08589:3776.70 46.69112:1567.85 46.78814:725.05 46.95602:1498.88 47.19453:1601.98 47.36342:3182.44 47.53807:1131.10 47.62496:3447.67 47.87958:1399.36 47.92636:566.85 48.14298:869.71 48.25743:981.39 48.33592:2687.84 48.48929:1300.32 48.57597:661.93 48.89814:3080.48 49.16443:732.40 49.98120:2690.14 50.10877:4772.58 51.00096:3897.37 51.10685:6863.68 51.95906:2904.54 52.09316:8435.18 52.37175:6672.41 52.56450:2271.84 52.70397:4176.04 52.83914:4603.25 53.05716:78472.22 54.06316:105890.92 54.68723:6870.15 54.81923:1655.34 55.07055:872917.10 55.78295:4210.12 55.89739:3395.69 56.07703:652451.98 56.67275:3476.28 57.08400:4042028.15 58.08798:178587.51 59.08590:9497.03 59.24698:1704.23 59.35024:1398.67 59.95906:2503.62 60.05291:9256.26 61.00291:4614.51 61.10701:2899.26 61.98042:1010.22 62.07757:1688.46 62.96805:920.87 63.17364:2096.43 63.52374:1387.98 63.70071:820.13 63.75611:1137.67 63.89819:823.74 64.22515:2005.93 64.31195:2144.91 64.48603:982.22 64.62186:1180.69 64.78528:1473.28 64.89970:282.76 65.05272:13299.62 65.46658:580.35 65.56645:856.80 65.84598:454.24 66.09623:4961.62 66.47781:1431.67 66.60809:1237.30 66.73021:1783.66 66.87213:1846.87 67.06747:87029.53 67.81111:1641.31 68.07316:73810.28 68.94692:3053.35 69.08159:378677.41 70.08857:412137.75 71.09515:2253187.74 72.09687:135109.33 73.02069:8147.47 73.12395:5172.61 73.92927:2772.81 74.11393:1491.51 74.21020:1141.45 74.89320:1506.38 75.27617:480.53 75.77391:2819.16 76.06278:1708.00 76.29505:395.31 76.36293:1227.16 76.52808:834.25 76.62249:331.87 76.69046:859.65 76.86492:1267.29 77.12722:3281.35 77.22461:538.84 77.33449:1546.73 77.41669:442.49 77.55404:480.09 79.06620:15049.80 79.16990:3911.45 79.60102:377.55 79.79505:1072.85 79.89385:829.29 80.03643:2426.30 80.14319:1463.61 80.20102:713.90 80.38974:1592.33 80.72562:1275.62 81.08035:27973.17 81.42260:1469.01 81.56115:1506.97 82.08610:68282.85 83.09307:221034.17 84.10083:227876.21 85.10871:1291023.51 86.11051:90924.92 86.93314:1769.30 87.07161:8221.71 87.97187:2524.74 88.09862:2879.13 88.54832:2294.49 88.74445:979.12 88.86368:1220.06 89.17243:322.80 89.33014:2878.46 89.46372:746.64 89.61571:1534.00 89.82228:717.53 90.50072:1620.72 90.62239:333.74 90.87634:597.80 91.30702:351.72 91.59031:465.78 91.82994:677.26 92.29382:246.00 92.38379:242.27 92.59264:841.35 92.66904:736.49 92.78995:910.41 92.94030:1053.73 93.24128:963.74 93.46978:1650.96 93.69420:628.10 93.85956:230.44 94.11448:2744.56 94.35888:529.59 94.46528:296.17 94.58519:777.63 94.63450:707.28 94.86005:235.38 95.08730:11511.64 95.91406:545.48 96.09963:31364.01 97.10788:138315.93 98.11403:152726.64 99.12226:335207.23 100.12431:28895.92 100.89622:1719.84 101.02358:2009.30 101.13138:673.44 101.27046:3702.74 101.93379:944.64 102.07522:747.48 102.16985:348.01 102.34778:1649.17 102.79637:890.67 103.37271:933.18 103.47754:591.89 103.65539:2977.25 103.86580:539.58 104.05570:1468.43 104.24714:723.62 105.09303:890.49 105.81399:346.71 105.84655:346.63 105.92662:261.21 107.68403:661.63 108.08993:630.88 108.15485:405.34 108.28473:244.51 108.38971:1350.39 108.75600:476.00 108.88221:640.35 108.92041:455.37 109.00049:393.13 109.11034:3709.26 109.34280:555.81 109.45721:266.65 109.71046:1005.50 110.11090:13314.05 110.47190:265.90 110.60317:258.25 110.71820:454.73 111.12064:59880.03 111.48360:920.30 111.61971:661.98 111.68564:635.48 112.12925:107922.12 112.40287:1165.09 112.58987:1801.19 112.89781:3127.29 113.13712:190261.10 113.96143:1678.51 114.13861:18234.15 114.85687:1765.13 115.16619:2411.51 115.82871:1700.93 116.37173:780.63 116.52368:228.08 117.09721:776.75 118.03003:1308.18 121.78813:456.89 122.65051:470.10 123.22167:269.38 123.36031:229.01 123.44672:520.22 124.12748:6132.26 124.38500:785.93 125.13499:22433.36 125.62422:241.54 126.14464:70460.50 126.76187:390.28 127.15237:123159.29 127.65487:1959.65 127.92731:1267.71 128.15519:14153.67 128.56318:384.29 128.84780:1717.23 129.19926:1402.55 129.39019:765.20 129.44974:422.99 129.72396:1315.74 129.91472:801.68 137.39923:215.41 138.14894:3009.43 139.14930:6832.74 140.16019:50248.31 140.76612:536.13 141.16851:85983.87 141.67680:239.79 142.16402:11966.73 142.46784:1015.43 142.61455:953.33 142.85176:622.27 143.14780:1370.67 143.88547:1426.19 144.08761:1800.40 151.31078:233.00 151.84889:213.73 152.17388:894.28 153.17838:1665.83 154.17972:32889.91 155.18496:68944.03 156.20633:5834.70 167.22332:342.25 168.19897:21420.67 169.20124:51129.74 170.20779:7691.07 171.26402:534.48 171.79554:661.23 172.34900:234.91 172.69724:947.54 172.94395:1877.05 174.36323:139.43 182.20207:10077.59 183.21285:30435.33 184.21951:5012.84 186.43868:359.59 196.22836:4934.67 197.23421:14593.66 197.68761:253.60 198.24264:2593.51 199.20545:567.84 199.35930:241.07 224.24186:5178.54 225.27983:237.68 226.26662:63571.00 227.26582:11781.43 227.60307:453.55 228.22215:597.30 288.99685:102.30 316.81494:116.14 328.56395:185.82 328.62429:176.97 340.10038:265.04 370.37398:157.27 401.72058:146.93 427.50220:213.39 438.31989:79.83 446.76173:221.40 460.25737:181.08 488.72653:170.91 525.48685:567.18 530.81138:96.42 531.74713:102.96 539.84321:92.61 544.05986:136.72 558.20929:122.20 559.59284:226.56 592.89396:107.37 593.35030:114.63 596.39706:129.48 597.12454:295.95 598.11206:154.59 601.09935:215.66 602.97400:128.73 607.27606:133.67 614.18453:201.54 615.61608:78.53 616.58808:193.94 617.43769:220.45 619.29673:183.02 620.15951:151.14 625.02757:113.68 635.57777:214.99 638.21317:88.78 643.15010:251.54
Peak 31	231926	60		473.638	11046	1.740	2.65	48	39	100.94	XIC(100.94±500ppm)			Unknown	Day 4 L-4 v-2:3	84.97322:11596.06 86.98345:3820.92 100.94219:11871.56 102.94374:7673.31 200.90525:500.84 201.03803:389.99 219.73747:89.07 245.58890:119.97 294.83904:266.37 302.63741:103.23 304.65068:81.97 328.73778:262.30 333.70868:87.68 361.05813:83.69 377.62079:115.65 411.13521:168.63 435.05700:160.96 451.95801:125.73 454.75066:103.76 456.93809:531.04 464.66004:87.66 467.72816:203.40 483.66110:194.37 487.58679:184.66 496.97658:115.24 515.70312:183.26 521.38627:173.42 527.50684:75.49 529.08598:120.29 533.54899:125.25 534.05405:117.81 539.69810:76.46 548.26030:268.75 549.24397:108.81 585.61640:80.89 597.58394:224.04 605.81472:120.95 621.78853:263.16 643.98553:79.11
Peak 32	215384	139		473.946	11046	0.920	1.42	43	43	100.94	XIC(100.94±500ppm)			Unknown	Day 4 L-4 v-2:3	56.07356:10092.41 84.97017:16315.44 86.97994:6428.63 100.94229:16973.60 101.08072:1346.63 102.94354:12628.68 104.92121:1281.18 115.97920:3059.40 134.94375:2977.64 136.94497:1293.73 146.94906:1451.55 150.87550:986.43 152.96658:579.89 162.93136:510.24 200.94820:2360.50 202.92440:1390.19 222.31490:383.99 255.59472:352.80 337.08277:160.09 434.27572:127.55 435.35099:256.86 455.95015:91.75 463.78534:105.42 476.24241:86.06 477.50373:174.53 477.87942:85.38 479.17738:127.84 480.34021:130.87 492.42959:266.08 500.74309:148.94 512.12793:84.52 525.89865:225.77 526.28822:126.37 526.68515:230.38 528.47617:196.85 533.33261:121.07 533.80107:266.48 536.18536:199.54 546.14555:224.50 548.26443:260.84 560.20323:140.88 562.71917:118.23 569.74752:257.54 575.98291:85.52 597.46526:79.04 622.06420:116.82 622.34253:240.14 623.93498:95.60 626.54769:355.43 627.37204:117.69 633.25244:91.81 639.87105:108.17 640.26610:83.09 643.27246:115.57 644.85759:98.18 650.02272:100.57
Peak 33	45032913	180		480.464	2724414	0.782	1.25	3276	3721	105.04	XIC(105.04±500ppm)			Unknown	Day 4 L-4 v-2:3	45.30667:1468.64 45.88627:381.15 47.91526:269.47 47.97111:1515.19 48.05566:2661.42 48.62025:686.54 49.03928:25530.59 49.10453:20948.51 50.03713:372156.73 51.04299:1142430.73 52.04669:81339.17 52.68115:1471.29 53.00272:8437.54 53.12344:1288.63 53.51065:313.90 55.56082:509.73 59.36771:278.75 59.49992:670.59 59.58425:289.72 59.66768:729.37 59.77706:260.12 59.90678:1098.94 60.22062:3206.96 61.02840:14941.74 62.03215:35566.80 63.03717:64917.83 63.53469:6633.49 63.91324:3570.64 64.04266:27077.80 64.54232:4693.72 64.86220:661.86 65.05160:15189.25 65.36389:699.19 65.53372:1577.41 65.60716:781.56 65.69826:1174.28 65.82061:584.73 66.67112:232.68 66.73462:552.12 69.53543:2902.97 73.02307:15057.23 73.28539:723.75 73.31294:642.23 73.37973:393.20 74.03020:128303.08 74.55814:1753.69 74.74323:957.42 74.86557:834.56 75.03733:99662.71 75.53807:10006.83 76.04300:224349.77 76.54400:17864.05 77.04931:2589071.50 78.05201:199833.15 78.74360:127223.71 79.06122:15687.88 79.44681:1301.41 79.57177:2069.19 79.83881:3650.04 81.53682:1948.98 82.04472:4550.72 82.53616:2603.79 85.06544:2176.17 85.58433:297.78 86.03203:15760.63 86.35065:760.56 86.80124:281.70 87.03307:20415.62 87.70495:243.59 87.82190:231.30 88.03695:7383.51 88.77447:461.95 89.04484:14892.13 89.53188:831.71 90.04448:3032.80 90.53444:3095.54 91.04646:15458.37 91.54081:2286.04 91.72501:257.13 95.36197:453.28 95.59101:223.35 95.66764:474.62 95.88105:542.34 95.95754:628.39 96.75411:236.56 96.89252:508.25 97.09211:977.44 97.36656:706.17 97.52315:255.41 98.02423:11323.60 98.46580:998.19 98.58937:757.15 98.82200:215.84 99.03580:9112.39 99.39578:487.54 100.04873:6350.23 101.04055:11201.55 101.41959:812.83 101.52539:603.02 101.68165:531.13 101.79710:663.90 101.83934:414.55 102.05856:17881.54 102.48559:230.08 102.61480:624.87 102.81775:2241.86 103.09945:2611.03 103.29279:372.07 104.04870:27710.31 105.03875:3718107.04 106.04295:301254.15 106.54703:8888.57 107.04296:23695.97 108.38840:3271.68 108.69561:2099.10 109.03272:4581.81 109.14595:828.03 110.02584:9510.54 110.31900:2337.79 110.98263:4325.90 111.14403:3610.02 111.87119:1589.10 112.06633:5824.67 112.24843:6905.16 113.03534:12954.81 113.27239:2025.74 114.07323:6017.96 114.20309:1887.39 114.43716:1097.02 115.06250:14294.74 115.69718:2427.90 116.06821:3456.69 116.45315:1334.48 116.59108:230.37 116.70825:348.47 116.81095:959.42 116.99589:669.07 117.06343:776.01 120.08859:512.24 122.03091:2607.39 122.11532:522.67 125.05281:4401.67 126.05699:24398.98 127.06485:15880.67 128.07489:7905.87 147.00247:1497.53 147.98825:412.18 148.08536:1527.91 149.03579:1417.86 149.22473:737.43 150.07034:22304.62 150.42882:250.99 151.06755:47688.53 151.61815:238.65 152.07507:114248.24 152.83683:1676.80 153.08155:68697.81 154.08916:63945.73 155.09242:15484.68 155.30358:7232.10 162.07586:692.06 163.05303:4984.93 164.08500:3890.79 165.07819:15704.86 165.57213:231.12 165.69267:192.42 166.07760:5495.90 167.07920:1942.70 167.22332:359.71 178.09335:429.44 179.01117:462.34 179.17830:415.83 180.08583:9593.33 181.07710:205478.04 182.07865:1263637.69 183.08119:177879.63 183.74496:1475.85 184.08080:15403.90 206.16132:237.22 266.92786:448.67 273.03323:445.17 309.19122:110.15 352.65404:390.05 405.07618:635.55 413.12923:140.60 425.59914:109.34 432.87816:246.86 433.46749:196.08 435.02285:198.46 436.29546:101.30 437.53569:91.68 439.79332:167.22 458.62134:104.49 460.46536:269.92 473.65623:118.38 477.33344:104.29 499.27665:122.01 500.76324:375.64 500.98579:246.82 501.19744:272.59 512.76418:117.95 533.32338:367.11 537.23423:147.27 539.06451:176.18 548.58547:110.14 559.27921:173.28 589.82830:124.00 613.25445:198.34 618.40873:140.15 620.35179:80.65 621.16764:171.91 627.21561:194.63
Peak 34	1988653	156		480.787	113872	0.832	1.07	167	108	73.06	XIC(73.06±500ppm)			Unknown	Day 4 L-4 v-2:3	59.04625:5787.37 73.05965:168000.63 74.06179:5367.86 75.04639:1760.42 147.07281:35296.55 148.07419:5608.67 149.09165:679.62 221.09573:21951.63 222.08199:5311.40 223.10496:1905.73 267.01304:3713.28 281.06244:18467.57 282.05686:5875.72 283.06914:2976.61 297.04031:429.34 326.99177:2543.48 339.95546:93.75 355.07319:37605.81 355.70701:612.70 356.07652:12929.23 356.68058:88.53 357.07276:8473.72 358.08723:1962.00 359.01266:536.74 359.36669:220.86 367.01617:187.40 367.79812:249.28 370.88949:176.21 373.50564:129.14 383.04087:150.32 384.98411:1490.90 385.15306:322.64 385.55076:131.43 385.88777:1515.44 386.74833:488.31 387.20809:156.39 399.00390:530.83 399.22088:181.07 400.09489:160.97 401.01102:12561.27 401.56427:344.73 401.95548:5446.57 403.06031:2959.20 403.89423:247.22 415.03961:3814.59 415.99692:1370.41 441.72623:79.75 456.50897:257.49 472.90891:109.77
Peak 35	6093195	82		481.331	350590	1.725	2.22	73	508	105.04	XIC(105.04±500ppm)			Unknown	Day 4 L-4 v-2:3	51.03945:37939.37 51.14160:952.88 74.03479:3402.76 77.04977:96945.80 84.97518:45094.04 86.97818:20001.37 101.00586:1617.18 105.03935:148548.82 106.06824:4750.22 117.94319:356.56 130.89157:370.02 131.04849:5515.63 131.96521:426.69 134.97147:13408.60 146.87895:1121.60 146.98338:5359.05 148.96161:1565.79 150.95388:14237.72 152.96647:11841.55 154.96161:1247.68 163.01107:580.61 165.05277:4053.88 181.08091:8538.85 182.08106:50935.29 183.08892:4921.30 196.97174:3736.63 221.08835:762.06 238.57286:224.25 251.66905:146.01 251.71952:151.35 282.71444:105.57 322.22923:153.19 340.56067:150.70 355.06452:904.66 355.93789:169.07 357.25163:113.28 357.53383:193.00 367.91408:128.40 380.35645:90.66 385.76884:184.21 401.04437:778.52 410.94551:196.02 412.54133:319.41 413.98769:248.97 415.06267:169.05 430.67766:164.39 437.70149:162.65 438.97393:80.97 439.17024:89.97 491.63043:97.13 494.99480:231.79 495.86331:123.57 499.93971:181.03 509.90960:171.47 532.07021:360.42 535.49842:97.00 563.20258:266.30 581.69316:94.51 613.95307:246.70 624.59923:215.23 624.94950:77.20 634.51047:130.63 634.69718:221.58 641.16875:179.62
Peak 36	9712163	132		483.982	373649	1.194	2.71	582	974	84.97	XIC(84.97±500ppm)			Unknown	Day 4 L-4 v-2:3	46.98287:2356.33 65.98751:13065.40 66.98999:12729.12 67.96531:2312.26 69.00664:132976.73 69.97211:463.90 74.03389:2964.55 77.04941:22696.07 82.00018:4498.32 83.93470:930.77 84.97413:533457.38 85.44546:1534.09 85.68423:645.55 85.97413:5046.74 86.48169:244.46 86.97098:173927.75 87.96820:850.80 93.00561:24829.11 96.98647:3324.18 100.94305:256984.83 101.42973:493.36 101.95817:2990.17 102.94146:165563.62 103.37224:226.67 103.92844:1247.22 105.02577:60793.73 106.05516:1139.22 108.97757:13999.64 110.95187:2432.18 115.97586:72629.20 116.98940:8110.03 117.97348:24116.87 118.99590:16459.53 119.18085:881.04 123.99274:4454.67 124.95633:1845.37 126.85179:167.01 127.90874:277.62 130.99992:151881.71 131.96917:12168.79 133.95312:5167.81 134.97095:179477.74 135.97399:5936.69 136.96715:56563.13 143.00622:9392.65 146.01999:352.31 146.97399:89257.00 147.97378:3600.30 148.97484:28881.76 149.98948:2215.70 150.94222:142406.99 151.95121:3017.70 152.93884:91411.70 153.95194:2235.72 154.94474:18912.82 158.96978:4524.79 160.99180:1345.91 161.99625:2004.94 162.09997:1606.22 162.94824:48465.92 163.80925:219.51 163.99146:1262.79 164.94692:31230.33 165.91721:797.21 166.94998:7191.95 168.90651:939.05 170.96121:1130.23 171.06058:1129.82 173.04649:329.21 174.96231:1216.03 177.97256:5164.55 178.93121:11885.17 179.91231:746.74 180.93783:14485.74 182.08235:12202.41 182.92674:3730.89 184.97441:18582.65 185.95249:1014.90 186.97437:6845.46 193.00403:10028.55 193.99555:1744.23 196.96804:8281.15 198.97994:2561.20 200.93896:60760.57 201.94918:2788.71 202.93521:38622.02 203.95865:1622.37 204.95960:10522.56 208.76971:193.81 208.99634:6552.52 210.92084:803.28 212.95812:10280.58 214.93470:9239.77 216.91719:13725.52 218.90903:9612.15 219.87634:184.96 220.92086:3805.34 224.95912:1790.04 228.91161:3934.40 244.90432:258.70 250.93618:8492.37 252.95420:4761.05 254.97051:1947.54 258.90759:668.58 262.92258:5876.25 264.92035:3925.37 266.90357:10440.67 268.90079:11001.29 269.89496:225.25 270.89767:2549.56 271.48755:142.53 274.97116:450.09 278.91709:2853.04 280.82749:375.17 300.88064:385.71 315.01017:563.67 316.90998:2233.02 318.91462:1585.89 320.54980:95.24 330.94825:1011.66 332.89205:1306.83 334.93602:858.42 336.96812:210.71 357.76969:250.45 423.69823:219.27 437.30762:216.76 444.68468:91.82 450.76379:168.15 453.08733:92.21 457.68553:139.50 464.72736:86.09 475.56115:139.04 489.90088:142.33 501.76038:234.08 502.07172:92.58 517.26276:295.55 522.02683:186.00 522.92640:98.91 523.39177:291.17 527.25380:171.62 528.58327:96.85 539.73365:203.37 548.90921:188.31 564.20177:96.36 568.36343:151.32
Peak 37	3948263	71		486.786	135295	0.934	0.34	278	294	84.97	XIC(84.97±500ppm)			Unknown	Day 4 L-4 v-2:3	65.99284:7455.90 66.98998:6283.09 69.00603:57356.30 81.94538:1342.84 84.97458:200026.52 86.97168:62306.18 93.00623:10687.88 96.98509:1817.00 100.00456:614.42 100.94280:183113.75 101.96394:2360.75 102.94108:122040.89 103.91244:315.65 104.94405:16724.97 108.97898:4277.84 115.97481:41282.82 116.97982:3266.09 117.97116:15583.49 118.99429:7584.62 131.00022:43185.17 131.85765:391.62 131.98229:4549.36 133.92798:1671.54 134.97151:79684.06 135.96483:2574.83 136.96741:26096.01 143.00574:3900.19 146.97703:43755.77 148.00818:1559.28 148.97286:14848.49 149.91499:580.70 150.94260:49917.25 151.94616:632.38 152.93631:33239.14 154.95256:7906.68 158.95315:1440.86 161.99106:1681.04 162.95098:20588.45 163.80925:163.58 164.94833:12840.35 166.94957:3852.31 170.93927:506.46 177.01170:440.80 177.97784:1532.01 178.92551:5946.40 180.83947:1042.44 181.06388:751.52 182.89861:761.52 184.96855:7022.99 186.96565:3319.69 198.96274:372.13 200.93799:26718.00 201.99122:1106.03 202.93925:18927.32 203.92588:225.71 204.95145:4960.06 208.98757:2571.62 210.89544:222.36 212.97337:7094.23 214.88562:1763.63 215.06196:1030.88 216.96898:10737.76 218.90443:6527.05 220.91163:1616.24 224.95190:342.39 228.88266:1151.21 230.90548:1365.81 232.91080:457.05 234.95265:827.16 247.01000:232.36 250.92954:3128.16 252.86701:873.70 262.93328:2743.70 264.91397:1584.74 266.90205:5948.20 268.89197:6500.98 288.78456:182.61 291.81713:125.26 303.77926:133.60 305.52335:115.59 316.84651:543.46 317.03730:253.57 320.71755:204.02 322.39741:176.15 357.74293:127.30 373.08330:106.99 378.13469:319.39 403.53773:188.33 411.86076:107.42 427.21126:167.74 433.36511:114.48 477.94769:159.56 481.50444:86.91 486.33190:398.59 508.10756:114.94 509.72791:88.19 510.53419:389.22 528.39763:308.57 529.33902:237.95 531.78794:177.77 565.53778:133.57 593.09079:206.14 593.73072:119.54 622.92130:76.53 630.38968:198.50 643.43089:120.26
Peak 38	597698	114		492.251	32762	0.857	2.72	128	37	73.06	XIC(73.06±500ppm)			Unknown	Day 4 L-4 v-2:3	73.05699:51094.26 75.05958:4277.76 133.06005:2176.81 143.82446:236.56 147.05879:8282.16 149.05354:600.55 192.97494:590.05 207.73339:245.57 207.94056:1351.03 223.06850:23141.46 224.07136:5589.80 224.39028:177.67 225.04198:3408.04 248.99910:748.36 276.65690:77.63 281.03393:12950.32 282.07916:4653.98 283.04435:2435.76 285.66227:105.51 297.12190:345.81 306.61595:125.52 323.18285:170.67 336.79617:92.36 340.99261:355.49 349.69702:106.13 367.43506:76.22 376.98461:344.39 378.32199:224.70 380.05200:107.65 387.42295:252.88 396.97783:146.74 398.59718:82.19 401.02904:1776.08 415.09923:267.37 415.86307:184.75 419.82075:140.21 426.82407:115.09 444.53015:149.52 449.34285:196.39 452.45509:321.26 455.49223:401.10 508.57163:253.68 521.85575:79.37 523.99815:101.46 530.62667:306.90 561.23852:133.73 567.79914:310.63 596.35667:259.63 596.77845:80.92 624.60749:151.79 630.42642:86.67 633.48822:132.05 639.08131:101.82 642.51500:211.45 644.81092:146.14
Peak 39	439795	22		493.651	14662	1.329	1.77	35	44	131.00	XIC(131.00±500ppm)			Unknown	Day 4 L-4 v-2:3	84.94174:12686.14 85.03665:3931.25 86.97320:12038.72 131.00195:12965.27 152.93404:6904.31 351.27547:120.45 381.81951:90.83 396.60461:132.36 422.41845:360.03 443.92199:242.17 444.06519:139.84 460.32814:233.30 466.81665:100.70 478.80461:207.93 495.51567:110.40 501.33471:148.88 508.88218:100.68 512.09733:218.18 512.79363:147.69 513.04708:119.46 541.55472:205.66 559.16889:125.64 562.27477:76.25 577.03268:109.43 584.63435:144.03 589.36503:164.70 589.62866:89.40 598.03325:131.31 598.12084:145.31 612.05690:93.35 615.07380:113.33 632.38826:83.02 632.70244:107.15 647.82501:254.88
